0.1 0.64282
0.3 0.64397
0.5 0.64119
0.7 0.64164
0.9 0.64155
1.1 0.64028
1.3 0.63949
1.5 0.64005
1.7 0.64341
1.9 0.64187
2.1 0.64404
2.3 0.64187
2.5 0.63963
2.7 0.64324
2.9 0.64071
3.1 0.64019
3.3 0.64305
3.5 0.63612
3.7 0.63984
3.9 0.64258
4.1 0.64234
4.3 0.62636
4.5 0.64101
4.7 0.64216
4.9 0.63803
5.1 0.64741
5.3 0.64059
5.5 0.64231
5.7 0.62756
5.9 0.64445
6.1 0.64149
6.3 0.63424
6.5 0.63782
6.7 0.62455
6.9 0.62506
7.1 0.61485
7.3 0.61101
7.5 0.61166
7.7 0.59504
7.9 0.58889
8.1 0.581
8.3 0.58237
8.5 0.58159
8.7 0.57271
8.9 0.57099
9.1 0.5626
9.3 0.55504
9.5 0.54711
9.7 0.53741
9.9 0.54494
10.1    0.51421
10.3    0.5228
10.5    0.51176
10.7    0.49875
10.9    0.505
11.1    0.4804
11.3    0.47737
11.5    0.47343
11.7    0.47085
11.9    0.46729
12.1    0.45245
12.3    0.4537
12.5    0.45324
12.7    0.43468
12.9    0.43554
13.1    0.41705
13.3    0.41168
13.5    0.42006
13.7    0.41392
13.9    0.40895
14.1    0.42359
14.3    0.39515
14.5    0.40207
14.7    0.40208
14.9    0.40363
15.1    0.38788
15.3    0.40001
15.5    0.38519
15.7    0.37432
15.9    0.3882
16.1    0.38494
16.3    0.37807
16.5    0.37521
16.7    0.36776
16.9    0.36583
17.1    0.37553
17.3    0.387
17.5    0.36706
17.7    0.36744
17.9    0.3581
18.1    0.36024
18.3    0.35425
18.5    0.35796
18.7    0.36077
18.9    0.35325
19.1    0.35653
19.3    0.35204
19.5    0.35259
19.7    0.34857
19.9    0.36929
20.1    0.35254
20.3    0.35343
20.5    0.34432
20.7    0.34729
20.9    0.34789
21.1    0.34868
21.3    0.34293
21.5    0.34655
21.7    0.34237
21.9    0.35514
22.1    0.35199
22.3    0.35009
22.5    0.34068
22.7    0.34847
22.9    0.3497
23.1    0.3399
23.3    0.34612
23.5    0.34521
23.7    0.35032
23.9    0.33999
24.1    0.34432
24.3    0.34131
24.5    0.34582
24.7    0.35481
24.9    0.33619
25.1    0.35133
25.3    0.33555
25.5    0.33214
25.7    0.34284
25.9    0.33679
26.1    0.34393
26.3    0.34367
26.5    0.33863
26.7    0.35091
26.9    0.34012
27.1    0.35317
27.3    0.34433
27.5    0.33712
27.7    0.36209
27.9    0.35177
28.1    0.33017
28.3    0.34444
28.5    0.34194
28.7    0.34974
28.9    0.34718
29.1    0.33867
29.3    0.32795
29.5    0.34058
29.7    0.33228
29.9    0.34781



